amenity,operator,Latitude,Longitude,Amenity_Type,Raw_Amenity,OSM_ID,name,addr:city,addr:postcode,addr:street,addr:street:corner,brand,brand:wikidata,brand:wikipedia,healthcare,dispensing,drive_through,access:covid19,addr:village,delivery:covid19,shop,takeaway:covid19,addr2:street,branch,opening_hours,source,source:url,addr:province,mapillary,wheelchair,addr:quarter,brand:facebook,brand:website,description,level,payment:cash,addr:state,addr:housenumber,check_date,contact:phone,payment:credit_cards,payment:debit_cards,payment:qr_code,email,phone,ref:vatin,website,source:name,is_in:city,is_in:zip,addr:housename,facebook,payment:gcash,addr:district,air_conditioning,source:feature,source:position,survey:date,source:ph,opening_hours:covid19,note,contributor:ph,official_name,ph:contributor,addr:street:es,addr:floor,addr:town,addr:unit,addr:municipality,addr:place,alt_name,name:abbr,source_ref,building,image,ele,addr:building,contact:facebook,contact:website,wpt_symbol,addr:country,FIXME,arivac:name,arivac:type_id,arivac:typetxt,roof:material,wall:material,contributor,old_name,fixme,name:en,payment:mastercard,payment:visa,wpt_description,addr:barangay,short_name,not:brand:wikidata,check_date:opening_hours,operational_status,backup_generator,capacity:persons,operator:type,survey:name,water_source,addr:suburb,mobile,addr:city_block,internet_access,payment:cards,addr:housewing,contact:mobile,level:ref,name:it,sym,time,cmt,is_in:town,atm,name:es,emergency,surveillance,surveillance:type,previously,opening_hours:drive_through,operator:wikidata,operator:wikipedia,payment:mastercard_debit,payment:visa_debit,addr:street_1,postal_code,contact:email,layer,addr:neighbourhood,delivery,smoking,wall:material_1,noname,bubbleid,old_addr:street,addr:city:es,name:fr,payment:coins,payment:cryptocurrencies,boutique,addr:subdistrict,admin_level,payment:contactless,strapline,old_addr:housenumber,addr:milestone,floor:material,addr:hamlet,name:ru,San,building:levels,building:material,money_transfer,parking,unisex,nohousenumber,building:use,start_date,addr:block_number,delivery:partner,indoor,room,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,payment:telephone_cards,payment:maya,payment:paymaya,payment:qr_ph,internet_access:ssid,addr:lot,outdoor_seating,name:ceb
pharmacy,,14.5606487,121.0139671,Pharmacy,pharmacy,255061761,Mercury Drug,Makati,1200,Urban Avenue corner Senator Gil Puyat Avenue,Urban Avenue,,,,pharmacy,yes,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5727958,121.0639868,Pharmacy,pharmacy,255062285,Watsons,Pasig,,,,Watsons,Q7974785,en:Watsons,pharmacy,,,,,,chemist,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6185863,121.0096947,Pharmacy,pharmacy,255062900,Mercury Drug,Quezon City,1100,E. Rodriguez Sr. Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,Banaue - E. Rodriguez Sr.,Mo-Su 07:00-23:00,jklinc,http://www.freewebs.com/phroadguide/,,465532198654050,,,,,,,,NCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5785890,121.0512446,Pharmacy,pharmacy,255062920,Mercury Drug,Mandaluyong,1550,Sierra Madre Street,EDSA,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,no,,,,,,EDSA,,24/7,survey,,Metro Manila,,limited,,,,,,yes,,69,2024-11-30,+6328531 0877,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5527569,121.0135794,Pharmacy,pharmacy,255064991,Mercury Drug,Makati,1231,,,,,,,,,,,,,,,Pasong Tamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5879978,121.0445019,Pharmacy,pharmacy,255065517,Mercury Drug,Mandaluyong,,Shaw Boulevard,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,Shaw - Laurel,06:00-23:00,,,Metro Manila,,,,,,,,,,,2024-10-17,,,,,info@mercurydrug.com,+63 2 8531 9439,PH000388474476,https://www.mercurydrug.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6139900,120.9890510,Pharmacy,pharmacy,255065755,Mercury Drug,Manila,,Lacson Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6581438,121.0195292,Pharmacy,pharmacy,255066475,Mercury Drug,Quezon City,1100,,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,GPS,http://www.freewebs.com/phroadguide/,Metro Manila,,,,,,,,,,,,,,,,,,,,jklinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6425311,121.0264988,Pharmacy,pharmacy,255070545,Yanchos Drugstore,Quezon City,1100,,,,,,,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,NCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5924667,121.0263831,Pharmacy,pharmacy,255071166,Mercury Drug,Mandaluyong,,General Kalentong Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,24/7,,,Metro Manila,4393866597291145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5305464,120.9968751,Pharmacy,pharmacy,255071463,Mercury Drug,Parañaque,,Quirino Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5529213,120.9924312,Pharmacy,pharmacy,255071645,Mercury Drug,,,Senator Gil Puyat Avenue,,,,,,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,,,,,,,,,,,,,Pasay,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5385140,121.0110455,Pharmacy,pharmacy,255072473,Mercury Drug,Pasay,,EDSA,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,Matute Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,San Pablo Drug Corporation,14.0682755,121.3248061,Pharmacy,pharmacy,284629856,Mercury Drug,San Pablo,4000,Regidor Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,San Pablo City - A. Regidor,Mo-Su 08:00-20:00,,,,,,,https://www.facebook.com/mercurydrugph,https://www.mercurydrug.com/,,,yes,,26,,,,,,,+63 49 562 1579,PH000420876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5979214,120.9837583,Pharmacy,pharmacy,286653629,Mercury Drug,Manila,1001,Quezon Boulevard,R. Hidalgo,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,Plaza Miranda,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.0708863,121.3239553,Pharmacy,pharmacy,308871522,Mercury Drug,San Pablo,4000,José Rizal Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,San Pablo City-Rizal,24/7,,,,,,,https://www.facebook.com/mercurydrugph,https://www.mercurydrug.com/,,0,yes,,,,,,,,,+63 49 536 2986; +63 960 576 0260,,,,,,,https://www.facebook.com/mercurydrugsanpablorizal,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,12.3669108,123.6214710,Pharmacy,pharmacy,310325212,Mercury Drug,Masbate,,Tara Street,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.0688942,121.3255055,Pharmacy,pharmacy,310731191,Asklepios,San Pablo,4000,A. Flores Street,,,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.0691789,121.3249511,Pharmacy,pharmacy,313474008,Ace Midtown,San Pablo,4000,Jose Burgos Street,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,7.1153776,125.6529903,Pharmacy,pharmacy,316054326,Mercury Drug,,,,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mercurydrug.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.0729951,121.3132081,Pharmacy,pharmacy,316214902,CGH Pharmacy,San Pablo,4000,Cipriano B. Colago Avenue,,,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,7.0703963,125.6051437,Pharmacy,pharmacy,318832080,Amesco,Davao City,8000,E. Quirino Avenue,,,,,pharmacy,,,,,,,,,,,,,Davao del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,Poblacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.5485412,121.0636418,Pharmacy,pharmacy,318870299,Mercury Drug,Makati,,Sampaguita,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,no,,,,,,,,24/7,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,7.0674393,125.6109545,Pharmacy,pharmacy,319137791,Mercury Drug,,,,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6338678,121.0974124,Pharmacy,pharmacy,322793953,Mercury Drug,Marikina,,,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6325782,121.0962448,Pharmacy,pharmacy,322793954,Mercury Drug,Marikina,1800,W. C. Paz,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,,,,,,1098321643979754,,,,https://www.mercurydrug.com/,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,14.6117937,121.0708307,Pharmacy,pharmacy,340863688,South Star Drug,Quezon City,1110,Katipunan Avenue,,South Star Drug,Q7568544,,pharmacy,,,,,,,,,,,,,,523748549261150,,,,,,0,yes,,,,,,,,,,,,,,,,,,,yes,nandyg,Mapillary 2022-03-15,2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,13.9369703,121.6132149,Pharmacy,pharmacy,346676318,Mercury Drug,Lucena,4301,Manuel Quezon Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,13.9369692,121.6133791,Pharmacy,pharmacy,346676990,Carlos Superdrug,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,13.9332487,121.6129016,Pharmacy,pharmacy,346680656,Mercury Drug,Lucena,4301,Quezon Avenue,,,,,,yes,,,,,,,,,,,,,1201203510338173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,10.3101461,123.9498262,Pharmacy,pharmacy,355114225,Rose Pharmacy,Lapu-lapu,,G. Y. Dela Serna Street,,Rose Pharmacy,Q62663208,,pharmacy,,,,,,,,,Babag-Looc,6:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfbate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,,10.3261427,123.9524605,Pharmacy,pharmacy,355114376,La Joela Pharmacy,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfbate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
