amenity,operator,Latitude,Longitude,Amenity_Type,Raw_Amenity,OSM_ID,name,addr:city,addr:postcode,addr:street,addr:street:corner,brand,brand:wikidata,brand:wikipedia,healthcare,dispensing,drive_through,access:covid19,addr:village,delivery:covid19,shop,takeaway:covid19,addr2:street,branch,opening_hours,source,source:url,addr:province,mapillary,wheelchair,addr:quarter,brand:facebook,brand:website,description,level,payment:cash,addr:state,addr:housenumber,check_date,contact:phone,payment:credit_cards,payment:debit_cards,payment:qr_code,email,phone,ref:vatin,website,source:name,is_in:city,is_in:zip,addr:housename,facebook,payment:gcash,addr:district,air_conditioning,source:feature,source:position,survey:date,source:ph,opening_hours:covid19,note,contributor:ph,official_name,ph:contributor,addr:street:es,addr:floor,addr:town,addr:unit,addr:municipality,addr:place,alt_name,name:abbr,source_ref,building,image,ele,addr:building,contact:facebook,contact:website,wpt_symbol,addr:country,FIXME,arivac:name,arivac:type_id,arivac:typetxt,roof:material,wall:material,contributor,old_name,fixme,name:en,payment:mastercard,payment:visa,wpt_description,addr:barangay,short_name,not:brand:wikidata,check_date:opening_hours,operational_status,backup_generator,capacity:persons,operator:type,survey:name,water_source,addr:suburb,mobile,addr:city_block,internet_access,payment:cards,addr:housewing,contact:mobile,level:ref,name:it,sym,time,cmt,is_in:town,atm,name:es,emergency,surveillance,surveillance:type,previously,opening_hours:drive_through,operator:wikidata,operator:wikipedia,payment:mastercard_debit,payment:visa_debit,addr:street_1,postal_code,contact:email,layer,addr:neighbourhood,delivery,smoking,wall:material_1,noname,bubbleid,old_addr:street,addr:city:es,name:fr,payment:coins,payment:cryptocurrencies,boutique,addr:subdistrict,admin_level,payment:contactless,strapline,old_addr:housenumber,addr:milestone,floor:material,addr:hamlet,name:ru,San,building:levels,building:material,money_transfer,parking,unisex,nohousenumber,building:use,start_date,addr:block_number,delivery:partner,indoor,room,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,payment:telephone_cards,payment:maya,payment:paymaya,payment:qr_ph,internet_access:ssid,addr:lot,outdoor_seating,name:ceb,Transit,Finance,Education,Retail,Civic,Healthcare,Food_Place,Government,Infrastructure,index_right,adm4_psgc,adm4_en,geo_level,len_crs,area_crs,len_km,area_km2
pharmacy,,14.6445715,121.0222188,Pharmacy,pharmacy,255051892,Sgm Drugstore,Quezon City,1100,,,,,,,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,145,19,1,41,25,398,0,17,35307.0,1381300076.0,Paltok,Bgy,3566.0,656860.0,3.0,0.0
pharmacy,,14.6232875,120.9991911,Pharmacy,pharmacy,255052286,Mercury Drug,Quezon City,,Mayon Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,Nicanor Roxas Street,,,,,,2911601305720154,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,145,36,4,28,34,347,0,5,35338.0,1381300107.0,Santa Teresita,Bgy,2328.0,341926.0,2.0,0.0
pharmacy,,14.5623488,121.0279034,Pharmacy,pharmacy,255056185,Mercury Drug,Makati,1200,Jupiter Street,,,,,,,,,,,,,,,,jklinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,435,19,5,17,39,846,0,46,33961.0,1380300002.0,Bel-Air,Bgy,8096.0,1716539.0,8.0,1.0
pharmacy,,14.5600690,121.0148561,Pharmacy,pharmacy,255060764,Mercury Drug,Makati,1200,Amorsolo Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,24/7,jklinc,http://www.freewebs.com/phroadguide/,,,,San Lorenzo,https://www.facebook.com/mercurydrugph,https://www.mercurydrug.com/,In front of Makati Medical Hospital,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,473,20,4,23,49,856,0,35,33977.0,1380300025.0,San Lorenzo,Bgy,5666.0,1709221.0,5.0,1.0
pharmacy,,14.5606487,121.0139671,Pharmacy,pharmacy,255061761,Mercury Drug,Makati,1200,Urban Avenue corner Senator Gil Puyat Avenue,Urban Avenue,,,,pharmacy,yes,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,473,20,4,25,48,859,0,32,33973.0,1380300018.0,Pio Del Pilar,Bgy,4850.0,917089.0,4.0,0.0
pharmacy,,14.5727958,121.0639868,Pharmacy,pharmacy,255062285,Watsons,Pasig,,,,Watsons,Q7974785,en:Watsons,pharmacy,,,,,,chemist,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,310,16,5,31,20,637,0,59,35214.0,1381200013.0,Oranbo,Bgy,3321.0,521333.0,3.0,0.0
pharmacy,,14.6185863,121.0096947,Pharmacy,pharmacy,255062900,Mercury Drug,Quezon City,1100,E. Rodriguez Sr. Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,Banaue - E. Rodriguez Sr.,Mo-Su 07:00-23:00,jklinc,http://www.freewebs.com/phroadguide/,,465532198654050,,,,,,,,NCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,134,21,6,37,28,323,0,11,35263.0,1381300032.0,Doña Josefa,Bgy,2431.0,281909.0,2.0,0.0
pharmacy,,14.5785890,121.0512446,Pharmacy,pharmacy,255062920,Mercury Drug,Mandaluyong,1550,Sierra Madre Street,EDSA,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,no,,,,,,EDSA,,24/7,survey,,Metro Manila,,limited,,,,,,yes,,69,2024-11-30,+6328531 0877,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,339,14,4,24,21,649,0,60,34016.0,1380500013.0,Highway Hills,Bgy,6247.0,1157661.0,6.0,1.0
pharmacy,,14.5527569,121.0135794,Pharmacy,pharmacy,255064991,Mercury Drug,Makati,1231,,,,,,,,,,,,,,,Pasong Tamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,475,21,6,18,45,750,0,31,33973.0,1380300018.0,Pio Del Pilar,Bgy,4850.0,917089.0,4.0,0.0
pharmacy,,14.5879978,121.0445019,Pharmacy,pharmacy,255065517,Mercury Drug,Mandaluyong,,Shaw Boulevard,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,Shaw - Laurel,06:00-23:00,,,Metro Manila,,,,,,,,,,,2024-10-17,,,,,info@mercurydrug.com,+63 2 8531 9439,PH000388474476,https://www.mercurydrug.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,345,15,3,23,24,685,0,66,34026.0,1380500023.0,Pleasant Hills,Bgy,2296.0,206953.0,2.0,0.0
pharmacy,,14.6139900,120.9890510,Pharmacy,pharmacy,255065755,Mercury Drug,Manila,,Lacson Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,219,60,3,46,36,517,1,12,34514.0,1380606096.0,Barangay 490,Bgy,756.0,21847.0,0.0,0.0
pharmacy,,14.6581438,121.0195292,Pharmacy,pharmacy,255066475,Mercury Drug,Quezon City,1100,,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,GPS,http://www.freewebs.com/phroadguide/,Metro Manila,,,,,,,,,,,,,,,,,,,,jklinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,94,20,3,32,21,255,0,12,35320.0,1381300089.0,Ramon Magsaysay,Bgy,2953.0,348984.0,2.0,0.0
pharmacy,,14.6425311,121.0264988,Pharmacy,pharmacy,255070545,Yanchos Drugstore,Quezon City,1100,,,,,,,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,NCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,159,23,1,39,28,459,0,23,35300.0,1381300069.0,Nayong Kanluran,Bgy,1975.0,142844.0,1.0,0.0
pharmacy,,14.5924667,121.0263831,Pharmacy,pharmacy,255071166,Mercury Drug,Mandaluyong,,General Kalentong Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,24/7,,,Metro Manila,4393866597291145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,112,13,6,48,32,375,0,34,34012.0,1380500009.0,Daang Bakal,Bgy,1890.0,173125.0,1.0,0.0
pharmacy,,14.5305464,120.9968751,Pharmacy,pharmacy,255071463,Mercury Drug,Parañaque,,Quirino Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,138,13,2,20,19,683,1,21,34985.0,1381000001.0,Baclaran,Bgy,6584.0,1588738.0,6.0,1.0
pharmacy,,14.5529213,120.9924312,Pharmacy,pharmacy,255071645,Mercury Drug,,,Senator Gil Puyat Avenue,,,,,,,,,,,,,,,,jklinc,http://www.freewebs.com/phroadguide/,,,,,,,,,,,,,,,,,,,,,,Pasay,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,157,17,3,13,26,469,0,15,35024.0,1381100024.0,Barangay 24,Bgy,595.0,21061.0,0.0,0.0
pharmacy,,14.5385140,121.0110455,Pharmacy,pharmacy,255072473,Mercury Drug,Pasay,,EDSA,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,Matute Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,191,14,3,26,18,319,0,19,35166.0,1381100166.0,Barangay 166,Bgy,1195.0,21250.0,1.0,0.0
pharmacy,San Pablo Drug Corporation,14.0682755,121.3248061,Pharmacy,pharmacy,284629856,Mercury Drug,San Pablo,4000,Regidor Street,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,yes,,,,,,,,San Pablo City - A. Regidor,Mo-Su 08:00-20:00,,,,,,,https://www.facebook.com/mercurydrugph,https://www.mercurydrug.com/,,,yes,,26,,,,,,,+63 49 562 1579,PH000420876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,67,6,0,12,42,119,0,0,11069.0,403424031.0,Barangay VII-C,Bgy,639.0,22160.0,0.0,0.0
pharmacy,,14.5979214,120.9837583,Pharmacy,pharmacy,286653629,Mercury Drug,Manila,1001,Quezon Boulevard,R. Hidalgo,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,Plaza Miranda,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,331,51,0,35,32,645,1,20,34315.0,1380603015.0,Barangay 306,Bgy,1313.0,101297.0,1.0,0.0
pharmacy,,14.0708863,121.3239553,Pharmacy,pharmacy,308871522,Mercury Drug,San Pablo,4000,José Rizal Avenue,,Mercury Drug,Q6818610,en:Mercury Drug,pharmacy,,,,,,,,,San Pablo City-Rizal,24/7,,,,,,,https://www.facebook.com/mercurydrugph,https://www.mercurydrug.com/,,0,yes,,,,,,,,,+63 49 536 2986; +63 960 576 0260,,,,,,,https://www.facebook.com/mercurydrugsanpablorizal,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,67,6,0,12,42,118,0,1,11060.0,403424021.0,Barangay V-B,Bgy,1097.0,33267.0,1.0,0.0
pharmacy,,12.3669108,123.6214710,Pharmacy,pharmacy,310325212,Mercury Drug,Masbate,,Tara Street,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,2,0,7,2,28,0,0,15352.0,504111025.0,Pating,Bgy,3109.0,187308.0,3.0,0.0
pharmacy,,14.0688942,121.3255055,Pharmacy,pharmacy,310731191,Asklepios,San Pablo,4000,A. Flores Street,,,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,66,5,0,12,41,117,0,0,11070.0,403424032.0,Barangay VII-D,Bgy,515.0,12497.0,0.0,0.0
pharmacy,,14.0691789,121.3249511,Pharmacy,pharmacy,313474008,Ace Midtown,San Pablo,4000,Jose Burgos Street,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,67,6,0,12,42,119,0,0,11069.0,403424031.0,Barangay VII-C,Bgy,639.0,22160.0,0.0,0.0
pharmacy,,7.1153776,125.6529903,Pharmacy,pharmacy,316054326,Mercury Drug,,,,,Mercury Drug,Q6818610,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mercurydrug.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,8,0,9,3,37,0,5,32561.0,1130700101.0,Sasa,Bgy,20511.0,7452969.0,20.0,7.0
pharmacy,,14.0729951,121.3132081,Pharmacy,pharmacy,316214902,CGH Pharmacy,San Pablo,4000,Cipriano B. Colago Avenue,,,,,pharmacy,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,73,4,0,11,42,151,0,3,11100.0,403424064.0,San Roque,Bgy,4040.0,579793.0,4.0,0.0
pharmacy,,7.0703963,125.6051437,Pharmacy,pharmacy,318832080,Amesco,Davao City,8000,E. Quirino Avenue,,,,,pharmacy,,,,,,,,,,,,,Davao del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,Poblacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,146,29,2,57,49,766,4,41,32595.0,1130700140.0,Barangay 7-A,Bgy,2171.0,200558.0,2.0,0.0
